file,dx,dy,corr_peak,reference_strategy,status,pass1_jump,pass1_low_corr,rejected,corr_threshold
cal_qatar1b-001.fit,0.0,0.0,0.0,first,aligned,0.0,True,False,15969362994.252644
cal_qatar1b-002.fit,0.0,0.0,34348619060.86248,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-003.fit,0.0,0.0,32579169955.03302,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-004.fit,0.0,0.0,36972788703.272316,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-005.fit,0.0,-1.0,37520693976.26141,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-006.fit,0.0,0.0,36023261974.358345,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-007.fit,1.0,0.0,37765113918.9562,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-008.fit,0.0,-1.0,35803741093.72106,first,aligned,1.4142135623730951,False,False,15969362994.252644
cal_qatar1b-009.fit,0.0,0.0,34026457566.043793,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-010.fit,1.0,0.0,37415981513.906654,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-011.fit,0.0,0.0,35451849409.34596,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-012.fit,0.0,0.0,37962421008.489494,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-013.fit,0.0,0.0,38408051046.89539,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-014.fit,1.0,0.0,38922902471.3394,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-015.fit,1.0,0.0,35694804891.29358,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-016.fit,0.0,-1.0,38300849909.31922,first,aligned,1.4142135623730951,False,False,15969362994.252644
cal_qatar1b-017.fit,1.0,-1.0,35617722899.85533,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-018.fit,1.0,0.0,37026797704.17718,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-019.fit,1.0,-1.0,38077421994.56139,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-020.fit,0.0,-1.0,36298926687.97728,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-021.fit,1.0,-1.0,31143628196.002598,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-022.fit,0.0,2.0,34356740763.803604,first,aligned,3.1622776601683795,False,False,15969362994.252644
cal_qatar1b-023.fit,0.0,0.0,34917729458.13377,first,aligned,2.0,False,False,15969362994.252644
cal_qatar1b-024.fit,0.0,-1.0,38200106005.52845,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-025.fit,1.0,-1.0,37772289054.52289,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-026.fit,2.0,-1.0,37668552774.798065,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-027.fit,1.0,-1.0,33212860153.68854,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-028.fit,0.0,-1.0,35459298037.91445,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-029.fit,1.0,0.0,37511109198.07669,first,aligned,1.4142135623730951,False,False,15969362994.252644
cal_qatar1b-030.fit,1.0,1.0,36413155661.12489,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-031.fit,0.0,0.0,38423149687.77484,first,aligned,1.4142135623730951,False,False,15969362994.252644
cal_qatar1b-032.fit,0.0,0.0,38043560869.32397,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-033.fit,1.0,0.0,38449651234.682686,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-034.fit,1.0,0.0,38176661274.1104,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-035.fit,0.0,0.0,36623659062.15481,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-036.fit,1.0,-1.0,35828430202.06224,first,aligned,1.4142135623730951,False,False,15969362994.252644
cal_qatar1b-037.fit,1.0,0.0,37505713578.83186,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-038.fit,1.0,-1.0,38963094045.86877,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-039.fit,0.0,-1.0,38456107778.85074,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-040.fit,1.0,0.0,36441452821.44596,first,aligned,1.4142135623730951,False,False,15969362994.252644
cal_qatar1b-041.fit,1.0,0.0,36293864178.8733,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-042.fit,1.0,-1.0,37118123933.71301,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-043.fit,0.0,-1.0,37240978690.226845,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-044.fit,1.0,-1.0,37514163093.98211,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-045.fit,1.0,-1.0,37287073615.70922,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-046.fit,1.0,-2.0,39228104651.42413,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-047.fit,1.0,-2.0,39138116601.3161,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-048.fit,1.0,0.0,33564678994.71095,first,aligned,2.0,False,False,15969362994.252644
cal_qatar1b-049.fit,1.0,0.0,37487285296.04406,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-050.fit,0.0,0.0,37026858649.96488,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-051.fit,0.0,0.0,34145284290.93723,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-052.fit,1.0,0.0,37972383489.500984,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-053.fit,1.0,0.0,37257819914.574196,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-054.fit,1.0,-1.0,29185760069.448517,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-055.fit,1.0,0.0,32108985512.18362,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-056.fit,2.0,-1.0,33803490356.99091,first,aligned,1.4142135623730951,False,False,15969362994.252644
cal_qatar1b-057.fit,1.0,-1.0,36660758735.35045,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-058.fit,0.0,0.0,34648395289.14975,first,aligned,1.4142135623730951,False,False,15969362994.252644
cal_qatar1b-059.fit,1.0,0.0,35678256608.037155,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-060.fit,1.0,0.0,36876280835.13065,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-061.fit,1.0,-1.0,35446406003.64055,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-062.fit,1.0,-1.0,34285629976.478737,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-063.fit,2.0,0.0,34705816433.38777,first,aligned,1.4142135623730951,False,False,15969362994.252644
cal_qatar1b-064.fit,1.0,0.0,34246444842.14156,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-065.fit,1.0,0.0,33531389114.472065,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-066.fit,0.0,0.0,32508400403.86297,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-067.fit,1.0,1.0,35003833127.80901,first,aligned,1.4142135623730951,False,False,15969362994.252644
cal_qatar1b-068.fit,1.0,1.0,35167815902.1611,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-069.fit,0.0,0.0,33219106567.24934,first,aligned,1.4142135623730951,False,False,15969362994.252644
cal_qatar1b-070.fit,1.0,-1.0,31763600438.212074,first,aligned,1.4142135623730951,False,False,15969362994.252644
cal_qatar1b-071.fit,2.0,0.0,28566598053.165195,first,aligned,1.4142135623730951,False,False,15969362994.252644
cal_qatar1b-072.fit,0.0,1.0,34464646276.617966,first,aligned,2.23606797749979,False,False,15969362994.252644
cal_qatar1b-073.fit,0.0,0.0,34568201390.2708,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-074.fit,1.0,0.0,32302213282.27382,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-075.fit,1.0,0.0,25653677637.899357,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-076.fit,1.0,0.0,28620893380.202347,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-077.fit,1.0,0.0,30140053244.99361,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-078.fit,1.0,0.0,28178549436.406345,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-079.fit,2.0,0.0,29248432170.34427,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-080.fit,1.0,-1.0,29702520974.3213,first,aligned,1.4142135623730951,False,False,15969362994.252644
cal_qatar1b-081.fit,1.0,0.0,27420616768.955357,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-082.fit,1.0,1.0,26687681659.089092,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-083.fit,1.0,1.0,26437087716.267895,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-084.fit,0.0,1.0,24652469411.35381,first,aligned,1.0,False,False,15969362994.252644
cal_qatar1b-085.fit,0.0,1.0,21582648993.153736,first,aligned,0.0,False,False,15969362994.252644
cal_qatar1b-086.fit,1.0,1.0,22150675613.092175,first,aligned,1.0,False,False,15969362994.252644
