frame_index,file,time_jd,target_flux,comparison_flux,differential_flux,differential_mag,n_comparisons_used,relative_flux
0,ali_cal_qatar1b-001.fit,2458040.248622685,91207.4194546724,255272.96230603787,0.3572936931147726,1.1174366245486629,5,1.0043671136627665
1,ali_cal_qatar1b-002.fit,2458040.249814815,122096.89995176485,340546.9891784524,0.35853172640379444,1.1136810191505109,5,1.0078472756277688
2,ali_cal_qatar1b-003.fit,2458040.2508564815,121750.06359435637,340235.61849275324,0.35784044049741237,1.11577645055906,5,1.0059040428086952
3,ali_cal_qatar1b-004.fit,2458040.251886574,122574.1315983723,343645.98376472306,0.35668722286681104,1.1192811188452085,5,1.00266230111162
4,ali_cal_qatar1b-005.fit,2458040.2529166667,121648.98287562629,342236.0519630941,0.3554534426687011,1.1230431878713998,5,0.9991940947582774
5,ali_cal_qatar1b-006.fit,2458040.2539467593,122918.28038737926,340786.3668953391,0.3606901341365261,1.107164341658101,5,1.0139146476144743
6,ali_cal_qatar1b-007.fit,2458040.254976852,121889.65603946388,340484.8474324182,0.3579884889404877,1.1153273444936678,5,1.0063202130079436
7,ali_cal_qatar1b-008.fit,2458040.2560069445,120942.64620637045,340215.78900327324,0.3554880464563238,1.122937495389956,5,0.9992913674137038
8,ali_cal_qatar1b-009.fit,2458040.257037037,121438.15004847558,341024.6236784796,0.35609789327989505,1.1210764891478602,5,1.00100567165632
9,ali_cal_qatar1b-010.fit,2458040.2580671296,121697.5998798171,342096.90651246614,0.3557401355085986,1.1221678345995656,5,1.0
10,ali_cal_qatar1b-011.fit,2458040.2590972222,120774.63505119378,341396.0545572129,0.35376693268420223,1.1282069097976157,5,0.9944532465487053
11,ali_cal_qatar1b-012.fit,2458040.260127315,121777.1819392177,341431.5373817839,0.35666647221005887,1.1193442845355812,5,1.002603970170911
12,ali_cal_qatar1b-013.fit,2458040.2611574074,122146.98813265152,342238.7963431453,0.35690573201461645,1.1186161927171259,5,1.0032765392197072
13,ali_cal_qatar1b-014.fit,2458040.2621875,121680.00743632451,339004.95569566573,0.35893282794827364,1.1124670483380061,5,1.0089747883946534
14,ali_cal_qatar1b-015.fit,2458040.2632291666,121158.75545989547,340710.8695412035,0.3556057827654462,1.122577963161314,5,0.9996223289706675
15,ali_cal_qatar1b-016.fit,2458040.264259259,122178.30745519504,342348.63659310644,0.3568827049263477,1.1186862452484876,5,1.0032118091373512
16,ali_cal_qatar1b-017.fit,2458040.265300926,122333.88924108128,343424.60935038363,0.35621759742985826,1.1207115746334537,5,1.0013421648939809
17,ali_cal_qatar1b-018.fit,2458040.2663310184,121736.82302694315,342013.1333257172,0.3559419541676101,1.121552048888679,5,1.0005673204647627
18,ali_cal_qatar1b-019.fit,2458040.267361111,122315.63284919356,340586.1761973699,0.35913269943848686,1.111862625174517,5,1.0095366352886719
19,ali_cal_qatar1b-020.fit,2458040.2683912036,122102.67767855429,342030.0022929647,0.3569940556675716,1.118347538236781,5,1.0035248206030514
20,ali_cal_qatar1b-021.fit,2458040.269421296,121701.23185735525,340859.18567155313,0.357042547108074,1.1182000698508447,5,1.003661132015968
21,ali_cal_qatar1b-022.fit,2458040.270451389,120851.84983218255,341129.4121738588,0.35426980353892684,1.1266646587895437,5,0.9958668369888327
22,ali_cal_qatar1b-023.fit,2458040.2714814814,121485.64003969033,340461.5023989756,0.35682636416649927,1.1188576630027158,5,1.0030534329682752
23,ali_cal_qatar1b-024.fit,2458040.272511574,121582.98189999838,341552.75217538705,0.3559713137300841,1.1214624965755269,5,1.0006498513898494
24,ali_cal_qatar1b-025.fit,2458040.2735416666,122204.43898656897,341776.75373955583,0.3575563219249617,1.1166388470723674,5,1.0051053739375415
25,ali_cal_qatar1b-026.fit,2458040.274571759,121803.82978977896,341308.95308886754,0.3568726477505106,1.1187168423988523,5,1.0031835380067329
26,ali_cal_qatar1b-027.fit,2458040.2756134258,122624.4207780202,341441.59517674794,0.3591373239529982,1.1118486443520659,5,1.009549634987187
27,ali_cal_qatar1b-028.fit,2458040.2766435184,121168.62331701373,339725.903412363,0.3566658358987066,1.1193462215466063,5,1.002602181473801
28,ali_cal_qatar1b-029.fit,2458040.277673611,121587.55512251126,341769.0112523761,0.35575944898271095,1.1221088905367842,5,1.0000542909618133
29,ali_cal_qatar1b-030.fit,2458040.2787152776,121425.28516615287,342183.2243535565,0.35485458235290845,1.1248739555316354,5,0.9975106740361919
30,ali_cal_qatar1b-031.fit,2458040.27974537,122743.26733612553,342990.808401661,0.35786168121562734,1.1157120052651641,5,1.0059637513321222
31,ali_cal_qatar1b-032.fit,2458040.2807754627,122366.25532047657,343287.6761080905,0.3564539709312119,1.1199913571052984,5,1.0020066204269944
32,ali_cal_qatar1b-033.fit,2458040.2818055553,122160.43158919612,343561.7319111627,0.355570543056827,1.122685562433492,5,0.9995232687154371
33,ali_cal_qatar1b-034.fit,2458040.2828472224,123023.57865062023,342770.2147185389,0.3589097691922834,1.112536801028425,5,1.0089099692930437
34,ali_cal_qatar1b-035.fit,2458040.283888889,122460.67290850791,344639.70822410384,0.35532955137275474,1.1234216810766486,5,0.9988458312828356
35,ali_cal_qatar1b-036.fit,2458040.2849305556,122043.09117599105,344520.5131377334,0.3542404197197986,1.1267547155741395,5,0.9957842378773036
36,ali_cal_qatar1b-037.fit,2458040.285960648,122849.16431683698,342643.91297543916,0.3585330416351008,1.1136770362627424,5,1.0078509727965026
37,ali_cal_qatar1b-038.fit,2458040.287002315,123410.81003831327,344731.37830798473,0.3579912297048209,1.1153190321155717,5,1.0063279174080368
38,ali_cal_qatar1b-039.fit,2458040.2880439814,123345.95368685205,343055.6471815596,0.3595508620838186,1.1105991640379158,5,1.010712107504462
39,ali_cal_qatar1b-040.fit,2458040.289085648,123558.63923362059,343177.628531066,0.3600428144529692,1.1091146301993524,5,1.0120950056372444
40,ali_cal_qatar1b-041.fit,2458040.2901157406,123861.32949811564,343425.2319449371,0.36066461627366647,1.1072411573096805,5,1.0138429158633657
41,ali_cal_qatar1b-042.fit,2458040.291157407,122440.78732891195,343407.57162075804,0.3565465570576567,1.1197093822506992,5,1.0022668837968063
42,ali_cal_qatar1b-043.fit,2458040.2921990743,122100.52576251744,342926.16723663494,0.356054852117081,1.1212077288267663,5,1.0008846811958185
43,ali_cal_qatar1b-044.fit,2458040.293229167,122328.18901821866,343702.5850097362,0.3559129152745634,1.1216406303647573,5,1.000485690954488
44,ali_cal_qatar1b-045.fit,2458040.2942708335,122976.15586767737,343035.30510335247,0.3584941667465572,1.1137947664506507,5,1.0077416939025483
45,ali_cal_qatar1b-046.fit,2458040.295300926,123067.23355499793,344024.4621425941,0.35772814755244936,1.1161172159837087,5,1.0055883827699355
46,ali_cal_qatar1b-047.fit,2458040.2963310187,122212.23850408162,342536.3894534916,0.35678614671880043,1.118980041852329,5,1.0029403800858914
47,ali_cal_qatar1b-048.fit,2458040.2973842593,122619.15775201234,341165.5536474743,0.3594124800732798,1.1110171168095655,5,1.01032311004051
48,ali_cal_qatar1b-049.fit,2458040.298425926,122342.67006199085,341370.08177165803,0.35838720671434143,1.1141187541691202,5,1.0074410248985775
49,ali_cal_qatar1b-050.fit,2458040.2994560185,121789.28879971294,341967.5114213772,0.3561428636700007,1.1209393838775754,5,1.0011320852532601
50,ali_cal_qatar1b-051.fit,2458040.300509259,122204.96578743712,343529.5486161597,0.3557334915721674,1.1221881124062225,5,0.9999813236242749
51,ali_cal_qatar1b-052.fit,2458040.3015509257,121529.47000547424,341361.02722184174,0.3560144841212215,1.1213308319922437,5,1.0007712051164277
52,ali_cal_qatar1b-053.fit,2458040.3025810183,121387.28391436812,341963.504416155,0.35497145849413503,1.1245164125511118,5,0.9978392176261904
53,ali_cal_qatar1b-054.fit,2458040.3036342594,120774.87265714223,340063.2330188729,0.3551541623155698,1.1239577278557753,5,0.9983528055045263
54,ali_cal_qatar1b-055.fit,2458040.304675926,121480.1928151748,338885.02682770806,0.35847022794824257,1.1138672699675076,5,1.0076744009661456
55,ali_cal_qatar1b-056.fit,2458040.3057060186,121811.38075153345,339292.62579957145,0.35901570352280643,1.1122163868818828,5,1.0092077550078087
56,ali_cal_qatar1b-057.fit,2458040.306759259,121651.94941712734,340250.24387212825,0.35753670014369243,1.1166984311479318,5,1.0050502163117616
57,ali_cal_qatar1b-058.fit,2458040.307789352,121367.75707274779,340765.53612296376,0.3561620651360493,1.1208808479162609,5,1.0011860613558474
58,ali_cal_qatar1b-059.fit,2458040.3088310184,121344.67243851763,339769.32240991143,0.3571384007768733,1.117908626066164,5,1.0039305805803318
59,ali_cal_qatar1b-060.fit,2458040.309872685,121001.32035956717,338268.7333474355,0.3577076697635156,1.1161793696425184,5,1.00553081887177
60,ali_cal_qatar1b-061.fit,2458040.3109027776,120933.13160481532,339774.7016250227,0.3559215298444374,1.1216143513599546,5,1.000509906861028
61,ali_cal_qatar1b-062.fit,2458040.31193287,121115.76405185607,339930.6328133332,0.35629552726530717,1.1204740737617291,5,1.0015612288332731
62,ali_cal_qatar1b-063.fit,2458040.3129861113,120797.09511963499,341618.34977296344,0.35360247832095576,1.1287117494376855,5,0.9939909586401133
63,ali_cal_qatar1b-064.fit,2458040.314027778,122226.29432887986,340812.25016454025,0.35863233868462885,1.1133763792445825,5,1.008130100844245
64,ali_cal_qatar1b-065.fit,2458040.3150578705,121298.94896452692,339614.724087712,0.3571663428032029,1.1178236828541568,5,1.004009126753621
65,ali_cal_qatar1b-066.fit,2458040.316111111,120746.23250588588,340626.1617963099,0.3544831432474954,1.1260110300362487,5,0.996466543592822
66,ali_cal_qatar1b-067.fit,2458040.3171527777,121875.37413056154,341170.5123126178,0.3572271627592656,1.1176388143526532,5,1.0041800941255643
67,ali_cal_qatar1b-068.fit,2458040.3181828703,123088.95248855607,340158.2049555892,0.36185795519654296,1.1036546881738987,5,1.0171974401460149
68,ali_cal_qatar1b-069.fit,2458040.319224537,122801.77368092112,340926.4659327525,0.360200177903301,1.108640192544664,5,1.0125373607010237
69,ali_cal_qatar1b-070.fit,2458040.3202662035,122131.41199013958,340324.6752037667,0.35886734312466284,1.1126651515063222,5,1.0087907078901661
70,ali_cal_qatar1b-071.fit,2458040.3213078706,121304.26517739898,340352.0654718381,0.3564081945829593,1.1201307979147344,5,1.0018779412488994
71,ali_cal_qatar1b-072.fit,2458040.322349537,123039.63243154873,341773.0726623686,0.360003880566382,1.1092320446131487,5,1.011985560897388
72,ali_cal_qatar1b-073.fit,2458040.323391204,121532.2856895247,342088.08994978084,0.3552660535693185,1.12361572073526,5,0.9986673363729333
73,ali_cal_qatar1b-074.fit,2458040.3244212964,122591.98767070772,339354.76255692815,0.3612502348486782,1.105479654751452,5,1.0154891135131598
74,ali_cal_qatar1b-075.fit,2458040.325474537,120731.68677069324,337284.8915602319,0.3579516598333404,1.115439048510051,5,1.0062166848887601
75,ali_cal_qatar1b-076.fit,2458040.3265162036,120912.85960326917,340338.2670571208,0.35527259584646037,1.1235957269258858,5,0.9986857269802581
76,ali_cal_qatar1b-077.fit,2458040.3275694447,121086.57885500952,342453.4532160941,0.35358550984913495,1.1287638523707302,5,0.9939432595751861
77,ali_cal_qatar1b-078.fit,2458040.3286111113,121455.26589853418,338562.8810962362,0.35873769004231343,1.113057481661744,5,1.0084262477986332
78,ali_cal_qatar1b-079.fit,2458040.329664352,121656.93706365196,340882.6249451009,0.35688805518686906,1.118669968393571,5,1.0032268489374394
79,ali_cal_qatar1b-080.fit,2458040.3306944445,120951.6561300082,339590.16591732594,0.35616948978273466,1.1208582146139496,5,1.0012069323398727
