sample_id,raw_path,label,source_type,format_hint,flux_column,time_column
neg_baseline_0_00009,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00009.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00011,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00011.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00016,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00016.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00017,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00017.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00018,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00018.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00019,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00019.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00020,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00020.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00023,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00023.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00027,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00027.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00031,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00031.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00034,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00034.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00036,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00036.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00037,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00037.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00044,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00044.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00049,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00049.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00051,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00051.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00053,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00053.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00055,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00055.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00062,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00062.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00063,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00063.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00064,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00064.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00066,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00066.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00068,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00068.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00072,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00072.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00076,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00076.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00077,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00077.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00085,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00085.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00093,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00093.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00110,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00110.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00112,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00112.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00114,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00114.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00116,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00116.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00119,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00119.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00121,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00121.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00126,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00126.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00128,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00128.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00130,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00130.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00146,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00146.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00151,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00151.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00152,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00152.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00155,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00155.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00157,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00157.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00165,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00165.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00167,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00167.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00168,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00168.csv,0,neg_baseline,csv,detrended_flux,time_jd
neg_baseline_0_00170,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\raw\neg_baseline_0_00170.csv,0,neg_baseline,csv,detrended_flux,time_jd
